hash,n_images,image_ids,n_distinct_lesions,splits,crosses_splits,same_lesion,max_pixel_diff,pixel_confirmed
16204216342410227952,4,"ISIC_0029559,ISIC_0030520,ISIC_0032414,ISIC_0032893",4,"test,train",True,False,37.76,False
17361641325848490224,2,"ISIC_0027151,ISIC_0030300",2,"train,val",True,False,17.75,False
14737615846780674979,2,"ISIC_0027989,ISIC_0029548",1,train,False,True,3.63,True
14305321808651130790,2,"ISIC_0025434,ISIC_0028165",1,test,False,True,14.96,False
17361597345449439472,2,"ISIC_0030123,ISIC_0033247",2,"train,val",True,False,45.01,False
17361632650551423208,2,"ISIC_0024409,ISIC_0025702",2,"train,val",True,False,28.76,False
17361641446644445424,9,"ISIC_0024675,ISIC_0025568,ISIC_0026892,ISIC_0027113,ISIC_0028209,ISIC_0029091",9,"test,train,val",True,False,81.3,False
16204198629428228336,2,"ISIC_0028045,ISIC_0030539",2,train,False,False,20.48,False
17361632650551423216,2,"ISIC_0026236,ISIC_0033874",2,"test,train",True,False,34.43,False
17363884329633898720,2,"ISIC_0033756,ISIC_0033883",2,"test,val",True,False,38.83,False
16204207425587835120,2,"ISIC_0031270,ISIC_0032333",2,test,False,False,12.82,False
17361632529822052592,3,"ISIC_0025807,ISIC_0030567,ISIC_0033506",3,"train,val",True,False,31.07,False
17361632529754415328,2,"ISIC_0028978,ISIC_0033824",2,"train,val",True,False,47.5,False
17357120134099822832,2,"ISIC_0027112,ISIC_0028023",2,"test,train",True,False,28.8,False
17361641325915074800,2,"ISIC_0025638,ISIC_0028385",2,"train,val",True,False,38.79,False
16204207425586786544,2,"ISIC_0028461,ISIC_0032345",2,"train,val",True,False,25.26,False
17361623733730078960,2,"ISIC_0030786,ISIC_0034088",2,"train,val",True,False,26.98,False
16204207425520201968,2,"ISIC_0028843,ISIC_0028966",2,train,False,False,11.1,False
17357120254829977840,2,"ISIC_0030350,ISIC_0033091",2,"test,train",True,False,71.29,False
17361636927868825848,2,"ISIC_0031896,ISIC_0032785",2,train,False,False,29.35,False
17357120134102708464,2,"ISIC_0030144,ISIC_0032568",2,val,False,False,34.12,False
17357128930127048944,2,"ISIC_0033674,ISIC_0034044",2,train,False,False,10.7,False
17361632512574550256,2,"ISIC_0032546,ISIC_0034194",2,train,False,False,43.48,False
17361623733727191280,2,"ISIC_0026029,ISIC_0032521",2,"test,train",True,False,49.22,False
16208711025214677216,2,"ISIC_0027783,ISIC_0033351",2,train,False,False,39.06,False
17361623871167983856,2,"ISIC_0032512,ISIC_0033342",2,"test,train",True,False,14.99,False
17361641326452470000,2,"ISIC_0030890,ISIC_0032754",2,train,False,False,35.45,False
517662199570698012,2,"ISIC_0029814,ISIC_0031481",1,train,False,True,13.19,False
9515699255860725518,2,"ISIC_0026328,ISIC_0029334",1,train,False,True,6.33,True
11461396246106154815,2,"ISIC_0029257,ISIC_0030225",1,train,False,True,3.74,True
10992317533432761998,2,"ISIC_0024366,ISIC_0029861",1,train,False,True,0.0,True
1881958217144536847,2,"ISIC_0027853,ISIC_0028545",1,train,False,True,9.68,False
2811129088251724547,3,"ISIC_0024777,ISIC_0029196,ISIC_0029938",1,test,False,True,4.98,True
11747533643564160919,3,"ISIC_0027707,ISIC_0029640,ISIC_0029724",1,train,False,True,10.89,False
1094145079646162703,2,"ISIC_0027698,ISIC_0029666",1,train,False,True,9.57,False
17361641463251529968,2,"ISIC_0024908,ISIC_0030079",1,test,False,True,1.37,True
17361641308735205616,2,"ISIC_0027133,ISIC_0032328",2,train,False,False,25.25,False
